Designator,Mid X,Mid Y,Rotation,Layer
_6,29.825,11.7,90.0,top
_5,13.425,16.325,90.0,top
_4,17.175,12.1,90.0,top
_3,13.885,9.0,90.0,top
_2,30.1,36.525068,90.0,top
,15.79,36.525068,90.0,top
C1,15.6,9.6,270.0,top
C2,22.2,31.0,0.0,top
J1,22.2,38.0,180.0,top
J2,5.0,13.655,0.0,top
J3,40.0,13.655,0.0,top
J4,40.0,31.345,180.0,top
J5,5.0,31.345,180.0,top
J6,5.0,22.505,0.0,top
J7,40.0,22.505,0.0,top
Q1,14.3,26.3,270.0,top
Q2,22.3,17.4,270.0,top
Q3,31.1,26.2,90.0,top
R1,14.3,32.5,270.0,top
R2,30.6,32.5,270.0,top
R3,24.6,12.2,270.0,top
R4,15.6,15.6,270.0,top
RV1,22.2,7.0,90.0,top
U1,12.4,9.9,90.0,top
